unit_id,stage,model,scenario,technology,patch_id,logical_owner,submit_account,submit_host,submit_username,assignment_version,attempt,dependencies,expected_output,status,prepared_script_name,resource_profile,cpus_per_task,processes
extreme/BCC-CSM2-MR/ssp126/wind/R03C09,extreme,BCC-CSM2-MR,ssp126,wind,R03C09,乌镇1352,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R03C09,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R03C09/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R03C09_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R03C10,extreme,BCC-CSM2-MR,ssp126,wind,R03C10,乌镇1731,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R03C10,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R03C10/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R03C10_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R03C11,extreme,BCC-CSM2-MR,ssp126,wind,R03C11,乌镇9359,乌镇1500,scnet-wuzhen-1500,acp6varuz3,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R03C11,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R03C11/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R03C11_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R04C04,extreme,BCC-CSM2-MR,ssp126,wind,R04C04,乌镇1731,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R04C04,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R04C04/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R04C04_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R04C05,extreme,BCC-CSM2-MR,ssp126,wind,R04C05,乌镇1500,乌镇1500,scnet-wuzhen-1500,acp6varuz3,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R04C05,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R04C05/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R04C05_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R04C07,extreme,BCC-CSM2-MR,ssp126,wind,R04C07,乌镇1555,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R04C07,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R04C07/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R04C07_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R04C08,extreme,BCC-CSM2-MR,ssp126,wind,R04C08,乌镇1500,乌镇1500,scnet-wuzhen-1500,acp6varuz3,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R04C08,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R04C08/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R04C08_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R04C10,extreme,BCC-CSM2-MR,ssp126,wind,R04C10,乌镇9359,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R04C10,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R04C10/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R04C10_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R04C11,extreme,BCC-CSM2-MR,ssp126,wind,R04C11,乌镇9259,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R04C11,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R04C11/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R04C11_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R04C12,extreme,BCC-CSM2-MR,ssp126,wind,R04C12,乌镇1352,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R04C12,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R04C12/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R04C12_wind.sh,resource_v3_extreme_multiprocess,16,16
